start,end,segment_mass,cumulative_mass,v_avg,delta_h,W_ThA->B
tst boces tompkins,1. dewitt middle school,18325.1317,18325.1317,6.031746031746032,-3,333352.1060065508
1. dewitt middle school,2. northeast elementary,514.3055556,18839.4372556,5.826023391812866,-5,319729.25696401304
2. northeast elementary,3. cayuga heights elementary,326.5277778,19165.965033400003,4.826388888888888,-61,223226.2794236602
3. cayuga heights elementary,4. belle sherman,251.8055556,19417.770589000003,7.697893972403777,-1,384836.63611761585
4. belle sherman,5. caroline elementary,240.9722222,19658.7428112,14.351408825093037,79,17259815.277758718
5. caroline elementary,6. south hill elementary,251.1111111,19909.8539223,12.782018659881254,-130,1626435.9770821682
6. south hill elementary,7. bjm elementary,357.2222222,20267.0761445,9.190307328605202,-65,855896.347054988
7. bjm elementary,8. fall creek elementary,242.5,20509.5761445,4.412280701754386,-2,199642.48040719455
8. fall creek elementary,9. boynton middle school,273.3333333,20782.9094778,5.701566951566951,-2,337804.0151130472
9. boynton middle school,10. maint garage,484.3055556,21267.2150334,5.539351851851852,-4,326286.06787122344
10. maint garage,11. bus garage,0.0,21267.2150334,4.603513770180436,4,1059876.5335403075
11. bus garage,12. enfield elementary,0.0,21267.2150334,12.982407407407408,228,49360173.591476046
12. enfield elementary,13. lehman alternative,271.1111111,21538.3261445,12.919146825396826,-185,1797420.2131916115
13. lehman alternative,14. tompkins recycling,81.11111111,21619.43725561,7.522401433691757,-45,611684.3953187836
14. tompkins recycling,tst boces tompkins,18325.1317,18325.1317,7.840909090909091,192,35079065.28287753
